"sector","provincia","anio","vab","es_extractivo","region","participacion","variacion_pct"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","Buenos Aires",2004,373.6634068958136,FALSE,"Pampeana",0.09066565632460337,NA
"Fabricación de vehículos automotores, remolques y semirremolques","Buenos Aires",2004,1796.9591879693864,FALSE,"Pampeana",0.43601401999526673,NA
"Fabricación de equipo de transporte n.c.p.","Buenos Aires",2004,300.6994620207138,FALSE,"Pampeana",0.07296169113012657,NA
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","Buenos Aires",2004,1234.8152777752996,FALSE,"Pampeana",0.2996154708570669,NA
"Reciclamiento","Buenos Aires",2004,69.66572145140766,FALSE,"Pampeana",0.01690368455180309,NA
"Reparación, mantenimiento e instalación de maquinas y equipos","Buenos Aires",2004,272.6027370461566,FALSE,"Pampeana",0.06614430424294772,NA
"Generación captación y distribución de energía eléctrica","Buenos Aires",2004,1332.9838420734568,FALSE,"Pampeana",0.32343508270099075,NA
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","Buenos Aires",2004,1280.0428657848845,FALSE,"Pampeana",0.31058948885078264,NA
"Captación , depuración y distribución de agua","Buenos Aires",2004,356.60712953450707,FALSE,"Pampeana",0.0865271226794062,NA
"Construcción","Buenos Aires",2004,4354.142771958701,FALSE,"Pampeana",1.056488820862074,NA
"Comercio mayorista, minorista y reparaciones","Buenos Aires",2004,18983.730629880873,FALSE,"Pampeana",4.606210737482063,NA
"Hoteles; campamentos y otros tipos de hospedaje temporal","Buenos Aires",2004,289.3628696492522,FALSE,"Pampeana",0.0702109813499483,NA
"Restaurantes, bares y cantinas","Buenos Aires",2004,1268.0296173401987,FALSE,"Pampeana",0.30767459530025726,NA
"Transporte","Buenos Aires",2004,6974.341170130347,FALSE,"Pampeana",1.6922535307233872,NA
"Comunicaciones","Buenos Aires",2004,2798.305167369684,FALSE,"Pampeana",0.6789805207413369,NA
"Intermediación financiera y otros servicios financieros","Buenos Aires",2004,1614.6097865206207,FALSE,"Pampeana",0.3917687771974867,NA
